Тип;Название;Широта;Долгота;Номера маршрутов
автобус;ул. Папанина;64.513649;40.667578;44,64,4,15,43,41
автобус;Ул. Партизанская;64.599585;40.590212;
автобус;ул. Первомайская;64.525178;40.602357;44,42,7У,61,4,43,41,7,65,7РЈ,90
автобус;ул. Первомайская;64.525391;40.60093;44,42,61,4,7У,43,41,7
автобус;Макси;64.525178;40.602357;44,42,7У,61,4,43,41,7,65,7РЈ,90
автобус;Макси;64.525391;40.60093;44,42,61,4,7У,43,41,7
автобус;Ул. Полины Осипенко;64.529908;40.617657;61,5,64,15,65,90
автобус;Ул. Полины Осипенко;64.528935;40.616165;5,64,61,15
автобус;ул. Поморская;64.535038;40.522304;61,1,60,42,62,54,43,76К,4,44,9,12,41,11,70,76,90
автобус;ул. Поморская;64.534249;40.524724;9,42,75Б,44,61,4,43,76,62,41,60,1,54,12,11К
автобус;ул. Поморская;64.537434;40.528306;75М,75,65
автобус;Ул. Попова;64.545973;40.533457;62,12
автобус;Ул. Розы Люксембург;64.537935;40.552833;65,5,75Б
автобус;Ул. Розы Люксембург;64.537829;40.553509;5,75М,65
автобус;ул. Русанова;64.504622;40.684369;64,44,41
автобус;ул. Русанова;64.505467;40.682877;41,42,64,44,43,5,7У,7
автобус;ул. Русанова;64.503324;40.67571;7У,43,42,5,7
автобус;ул. Русанова;64.501987;40.67976;43
автобус;Ул. Садовая;64.549169;40.535334;62,12
автобус;ул. Северодвинская;64.531419;40.550891;75М,65
автобус;ул. Силикатчиков;64.482206;40.773836;43,64
автобус;ул. Суворова;64.559444;40.524724;43,44,6,76,1,42,61,75Б,60,9
автобус;ул. Суворова;64.559854;40.524777;44,76К,9,42,1,61,43,6,60,90
автобус;Ул. Сурповская;64.514223;40.559922;3,83,23
автобус;ул. Таймырская;64.571415;40.524283;44,5,10,9,69,1,60,65,43,89,70,61
автобус;ул. Таймырская;64.571217;40.524198;69,65,43,7,61,10,60,44,6,7У,5,9,70,42,1,89
автобус;ул. Таймырская;64.571524;40.522344;6,61,42,7,7У
автобус;ул. Терехина;64.57849;40.516516;5,9,61
автобус;ул. Терехина;64.578412;40.516216;9,5,61
автобус;ул. Тимме;64.547951;40.560354;4,54,7,6,41,11
автобус;ул. Тимме;64.54874;40.561234;10,7У,70,69,7,83,62,81,90
автобус;Ул. Тяговая;64.442155;40.612957;3,23,83
автобус;Ул. Тяговая;64.442095;40.612915;3,23,83
автобус;ул. Урицкого;64.527352;40.555569;44,62,42,1,41,76К,61,4,43,3,11,23,90
автобус;Ул. Федора Абрамова;64.526854;40.613923;5,61,64,15,65,90
автобус;Ул. Федора Абрамова;64.525963;40.612593;5,64,61,15
автобус;Ул. Химиков;64.595953;40.592959;60,63,10
автобус;ул. Челюскинцев;64.581599;40.504757;42,61,7У,6,7,65
автобус;ул. Челюскинцев;64.582216;40.504875;6,61,7У,42,7,65
автобус;ул. Шубина;64.556628;40.523275;9,60,61,75Б,1,76,6,44,42,43
автобус;ул. Шубина;64.555825;40.522664;60,44,61,6,76К,43,1,42,9,76,90
автобус;Ул. Шубина;64.555217;40.528307;62,12,70,75М,65,75
автобус;Универмаг;64.529622;40.348341;31,81
автобус;Универмаг;64.529474;40.347955;31,81
автобус;Университетская библиотека;64.528385;40.568346;4,42,7У,61,44,43,41,65,7,90
автобус;Университетская библиотека;64.528434;40.56846;7У,43,41
автобус;УПТК;64.523619;40.697082;4
автобус;УПТК;64.524025;40.696321;4
автобус;Усть-Двинская;64.591804;40.521553;9
автобус;Усть-Двинская;64.591226;40.521623;
автобус;Фактория;64.499643;40.689765;43,64,44,41
автобус;Фактория;64.499888;40.688531;41,42,64,44,43,5,7У
автобус;Фактория;64.500356;40.686747;5,42,43
автобус;Ферма;64.595944;40.618773;12,18
автобус;Ферма;64.595005;40.617142;12,18
автобус;Химкомбинат;64.500308;40.587519;3,23,83
автобус;Химкомбинат;64.499662;40.588657;3,83,23
автобус;Хлебокомбинат;64.495084;40.594794;3,23,83
автобус;Хлебокомбинат;64.495684;40.594203;3,83,23
автобус;Часовня;64.612095;40.525174;44,9,69,65,70,63,89
автобус;Часовня;64.611708;40.524745;9,69,65,44,70,63,89
автобус;Швейная фабрика;64.555563;40.554957;69,7У,76,7,62,10,83,70,180,81,90
автобус;Швейная фабрика;64.553719;40.555644;10,7У,62,69,83,7,81
автобус;Школа;64.453752;40.633568;3,83,23
автобус;Школа;64.453637;40.632312;3,23,83
автобус;Школа №25;64.531906;40.610758;5,65,64,15,62
автобус;Школа №25;64.531772;40.608226;5,64,65,62,15
автобус;Школа №55;64.656549;40.539229;69,89,9,70,63
автобус;Школа №55;64.655954;40.539049;9,69,70
автобус;Школа №59;64.682043;40.502322;9,69,89,70,63
