Название;Широта;Долгота;Номера маршрутов
пр. Советских Космонавтов;64.559057;40.54822;5,62,69,83,76,10,65,75Б,7У,7,81
Пр.Обводный канал;64.538479;40.545269;7,7
Пр.Обводный канал;64.537983;40.544427;7
Пригородная;64.504502;40.580685;3,23,83
Пригородная;64.504465;40.580685;3,83,23
Причал;64.532164;40.444676;38
Проезд Бадигина;64.559813;40.549099;12,81,83,89,180,43,88
Проспект Советских Космонавтов;64.542427;40.532298;62,12
р. Лодьма;64.681961;40.724344;180
р. Лодьма;64.681924;40.724248;
Развилка на 14 л/з;64.617145;40.525925;44,9,69,65,70,63,89
Развилка на 14 л/з;64.614997;40.525249;9,44,69,65,70,63
Развилка на аэропорт;64.601692;40.630907;12
Развилка на аэропорт;64.601596;40.631711;12
Развилка на аэропорт;64.602502;40.630049;180
Развилка на аэропорт;64.602383;40.62978;
Райсовет;64.47861;40.599536;23,3,83
Райсовет;64.477597;40.599643;3,23,83,15
Рембыттехника;64.53877;40.568755;64,11К,7У,1,76,31,81,83,15,7
Рембыттехника;64.539148;40.569195;64,31,7У,1,76К,15,83,11,81,7,76
Речной Порт;64.486207;40.736274;42,64,44,43
Речной Порт;64.486928;40.732905;64,43,42,44
Роддом им. Самойловой;64.541579;40.569259;81,15,11К,7У,64,1,31,76,83,7
Роддом им. Самойловой;64.541256;40.569677;7У,1,76К,64,31,15,83,11,81,76,7,90
Розы Шаниной;64.53365;40.56501;3,81,31,83,23
САФУ;64.527961;40.54999;44,62,75Б,42,1,4,3,11К,76,61,43,23,41
СМЗ;64.586841;40.504183;42,7У,65
СМЗ;64.586893;40.506664;7У,6,42,61,7,65
"СМЗ ""Красная кузница""";64.570272;40.514907;7У,42,6,61,7,65
"СМЗ ""Красная кузница""";64.569535;40.516205;6,7У,61,42,7,65
Смольный Буян;64.534332;40.573014;5,65,62,64,15
Смольный Буян;64.534379;40.572542;64,62,5,65,15
СНТ Междуречье;64.678434;40.71781;
Спортивный центр;64.454413;40.640771;
СОТ;64.40746;40.632012;
СОТ;64.407117;40.632033;83
"СОТ ""Бочага""";64.662518;40.497429;18
"СОТ ""Бочага""";64.66295;40.496292;
"СОТ ""Черемушки""";64.497398;40.753344;41
"СОТ ""Черёмушки""";64.503181;40.719237;41
"СОТ ""Черёмушки""";64.503072;40.719038;41
СОТ Волживка;64.649535;40.688617;180
СОТ Волживка;64.649264;40.68837;180
СОТ Каркуль;64.640705;40.680914;180
СОТ Каркуль;64.64054;40.680699;180
СОТ Лодемка;64.637925;40.678575;180
СОТ Лодемка;64.637658;40.678339;180
СОТ Масленица;64.698922;40.635241;
СОТ Масленица;64.699062;40.634447;180
СОТ Сосенка;64.655626;40.693831;180
СОТ Сосенка;64.655313;40.693499;
СОТ Транспортник;64.668968;40.707479;180
СОТ Транспортник;64.668666;40.707114;
Студенческий городок;64.511137;40.678189;44,64,5,42,7У,43,41
Студенческий городок;64.511442;40.678028;44,64,41
Такелажная;64.520545;40.625006;5,64,42,7У,43,44,41,4,15
Такелажная;64.520139;40.625789;5,64,4,42,7У,44,43,41,15
Театр драмы;64.53656;40.517814;76К,42,54,62,4,9,60,44,61,12,43,1,11,70,41,76,90
Театр кукол;64.531991;40.531365;54,62,60,41,76,1,4,61,44,43,75Б,42,9,12,11К
Театр кукол;64.531795;40.53166;44,12,41,11,62,61,60,76К,42,54,4,9,43,1,70,76,90
Титан-Арена;64.542444;40.534344;54,11К,6,4,41
"ТК ""На Окружной""";64.557955;40.579559;89,83,88,81
ТЦ Ильма;64.531398;40.619191;5,64,15
ТЭЦ;64.57493;40.579505;12,18
ТЭЦ;64.574759;40.578883;12,18
У фермы;64.596386;40.545269;10,60,63
У фермы;64.595999;40.546117;10,60,63
УГ - 42/1;64.514023;40.529262;
УГ - 42/1;64.512238;40.527985;
ул. Адмирала Кузнецова;64.592347;40.520561;60,44,69,10,89,65,70,9
ул. Адмирала Кузнецова;64.592368;40.520566;60,44,10,5,65,70,9,61
Ул. Вологодская;64.553382;40.537738;12,62
ул. Воронина;64.51697;40.665056;64,44,41,43,15
ул. Воронина;64.516772;40.665867;44,64,4,15,41
ул. Воронина;64.517406;40.665792;4,41
ул. Воскресенская;64.549425;40.560424;7,62,69,10,7У,81,83
Ул. Тимме-Воскресенская;64.543654;40.536107;5,75М,65,75
Ул. Тимме-Воскресенская;64.544027;40.536118;5,65,75Б
ул. Тимме-Воскресенская;64.539888;40.524342;75М,65,75
Ул. Выучейского;64.539531;40.544658;5,75М,65
Ул. Выучейского;64.540389;40.54234;5,65,75Б
ул. Выучейского;64.533641;40.53921;75М,65,75
Ул. Вычегодская;64.454534;40.642569;3,83,23
Ул. Вычегодская;64.454506;40.642397;3,83,23
Ул. Гагарина;64.559637;40.548479;12
ул. Гайдара;64.552967;40.52129;44,61,9,43,60,76,6,42,75Б,1
ул. Гайдара;64.553475;40.521408;42,76К,9,60,44,6,61,43,1
ул. Гайдара;64.552184;40.526483;62,75М,70,12,65,75
Ул. Гайдара;64.550796;40.540001;5,75М,65
Ул. Гайдара;64.551695;40.540602;5,65,75Б
ул. Галушина;64.523656;40.61078;42,64,7У,44,5,43,41,4,15
ул. Галушина;64.524209;40.608988;7У,42,43,44,41,4,61
ул. Галушина;64.534162;40.622501;61,62,65,90
ул. Галушина;64.52422;40.610758;61,5,64,15,65,90
ул. Дачная;64.509341;40.658287;43,5,42,7У
ул. Дачная;64.510733;40.657992;44,64,41,15
Ул. Дежневцев;64.492862;40.596462;3,23,83
Ул. Дежневцев;64.492455;40.596757;3,83,23
Ул. Добролюбова;64.591465;40.578389;63,10,60
Ул. Доковская;64.466875;40.629566;3,83,23
Ул. Доковская;64.467125;40.62801;23,3,83
Ул. Дрейера;64.515537;40.56029;3,23,83
Ул. Дрейера;64.514747;40.562081;
ул. Зеньковича;64.468242;40.615543;23,3,15,83
ул. Ильинская;64.527352;40.578743;61,43,44,42,7У,41,4,65,90
ул. Ильинская;64.527144;40.582316;42,4,61,7У,44,43,41,7
Ул. Ильича;64.595521;40.572832;10,60,63
Ул. Ильича;64.595047;40.574645;10,60,63
ул. Кедрова;64.587479;40.512289;10,60,43,44,1,69,65,70,89,9
ул. Кедрова;64.586636;40.51245;10,69,44,60,70,65,89,9
ул. Кедрова;64.587239;40.511532;6,7У,42,61,7
ул. Кедрова;64.587259;40.52258;5,9,61
ул. Коммунальная;64.527878;40.569323;44,42,4,61,41
ул. Комсомольская;64.562872;40.531322;9,60,6,44,42,61,43,76К,1,76,90
ул. Комсомольская;64.562407;40.530292;76,6,1,60,61,44,9,43,42,75Б
Ул. Комсомольская;64.560149;40.534165;62,12,70,75М,65,75
